order_id,cust_id,gender,Age,Profession,first_name,last_name,prod_id,product,product_category,product_sub_category,store_name,store_address,country,order_status,delivery_type,order_date,delivery_date,review_score,price,Spending Score (1-100),Quantity
66,C_026,Male,21,Barista,Michael,Canfield,P_1006,Laptop,Electronics,Premium,Amsterdam Mall,Market Rd,Australia,Returned,Online,2024-03-07,2024-03-14,2,620,59,1
67,C_032,Male,40,Engineer,Tony,Sebastian,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,Broadway,Germany,Processing,In-Store,2024-03-08,2024-03-16,3,200,50,1
68,C_002,Male,45,Doctor,Alexander,Smith,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,Germany,Delivered,Pickup,2024-03-09,2024-03-18,4,25,48,2
69,C_007,Male,27,Songwriter,Davidson,Pete,P_1003,Shoes,Fashion,Premium,Nicosia Mall,High St,Cyprus,Cancelled,Online,2024-03-10,2024-03-20,5,350,59,1
70,C_006,Male,25,Artist,David,Campbell,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Market Rd,Netherlands,Returned,In-Store,2024-03-11,2024-03-12,1,35,47,1
71,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-03-12,2024-03-14,2,499,55,1
72,C_006,Male,25,Artist,David,Campbell,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,Netherlands,Delivered,Online,2024-03-13,2024-03-16,3,620,42,1
73,C_023,Male,53,Lawyer,Klen,Britton,P_1001,Smartphone,Electronics,Standard,New York Mall,High St,USA,Cancelled,In-Store,2024-03-14,2024-03-18,4,200,49,1
74,C_026,Male,21,Barista,Michael,Canfield,P_1002,Headphones,Accessories,Budget,Amsterdam Mall,Market Rd,Australia,Returned,Pickup,2024-03-15,2024-03-20,5,25,56,2
75,C_028,Female,20,Engineer,Olivia,Taylor,P_1003,Shoes,Fashion,Premium,Berlin Mitte,Broadway,Germany,Processing,Online,2024-03-16,2024-03-22,1,350,47,2
76,C_007,Male,27,Songwriter,Davidson,Pete,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-03-17,2024-03-24,2,35,54,1
77,C_009,Female,45,Doctor,Debby,Black,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-03-18,2024-03-26,3,499,53,1
78,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-03-19,2024-03-28,4,620,48,1
79,C_027,Female,30,Homemaker,Nina,Martin,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,Broadway,Germany,Processing,In-Store,2024-03-20,2024-03-30,5,200,52,1
80,C_018,Male,64,Healthcare,James,Smith,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Main St,Cyprus,Delivered,Pickup,2024-03-21,2024-03-22,1,25,42,2
81,C_013,Male,54,Entertainment,Glen,Pokk,P_1003,Shoes,Fashion,Premium,Amsterdam Mall,High St,Australia,Cancelled,Online,2024-03-22,2024-03-24,2,350,51,2
82,C_026,Male,21,Barista,Michael,Canfield,P_1004,Backpack,Fashion,Standard,Amsterdam Mall,Market Rd,Australia,Returned,In-Store,2024-03-23,2024-03-26,3,35,55,1
83,C_019,Female,34,Lawyer,Jessica,Danforth,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-03-24,2024-03-28,4,499,41,1
84,C_015,Female,48,Doctor,Helen,Renn,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,USA,Delivered,Online,2024-03-25,2024-03-30,5,620,44,1
85,C_009,Female,45,Doctor,Debby,Black,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-03-26,2024-04-01,1,200,57,1
86,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-03-27,2024-04-03,2,25,46,2
87,C_002,Male,45,Doctor,Alexander,Smith,P_1003,Shoes,Fashion,Premium,Berlin Mitte,Broadway,Germany,Processing,Online,2024-03-28,2024-04-05,3,350,58,1
88,C_018,Male,64,Healthcare,James,Smith,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-03-29,2024-04-07,4,35,55,1
89,C_022,Male,18,Homemaker,Kevin,Patrick,P_1005,Tablet,Accessories,Budget,New York Mall,High St,USA,Cancelled,Pickup,2024-03-30,2024-04-09,5,499,60,1
90,C_026,Male,21,Barista,Michael,Canfield,P_1006,Laptop,Electronics,Premium,Amsterdam Mall,Market Rd,Australia,Returned,Online,2024-03-31,2024-04-01,1,620,46,1
91,C_022,Male,18,Homemaker,Kevin,Patrick,P_1001,Smartphone,Electronics,Standard,New York Mall,Broadway,USA,Processing,In-Store,2024-04-01,2024-04-03,2,200,55,1
92,C_015,Female,48,Doctor,Helen,Renn,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,USA,Delivered,Pickup,2024-04-02,2024-04-05,3,25,41,2
93,C_002,Male,45,Doctor,Alexander,Smith,P_1003,Shoes,Fashion,Premium,Berlin Mitte,High St,Germany,Cancelled,Online,2024-04-03,2024-04-07,4,350,49,1
94,C_008,Male,22,Executive,Dean,Kelly,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Market Rd,Cyprus,Returned,In-Store,2024-04-04,2024-04-09,5,35,40,1
95,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-04-05,2024-04-11,1,499,42,1
96,C_018,Male,64,Healthcare,James,Smith,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-04-06,2024-04-13,2,620,52,1
97,C_002,Male,45,Doctor,Alexander,Smith,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,High St,Germany,Cancelled,In-Store,2024-04-07,2024-04-15,3,200,47,1
98,C_032,Male,40,Engineer,Tony,Sebastian,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Market Rd,Germany,Returned,Pickup,2024-04-08,2024-04-17,4,25,50,2
99,C_001,Male,37,Artist,Alex,Taylor,P_1003,Shoes,Fashion,Premium,Netherlands Mall,Broadway,Netherlands,Processing,Online,2024-04-09,2024-04-19,5,350,42,1
100,C_021,Male,52,Healthcare,Josh,Walker,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-04-10,2024-04-11,1,35,49,1
101,C_009,Female,45,Doctor,Debby,Black,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-04-11,2024-04-13,2,499,41,1
102,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-04-12,2024-04-15,3,620,48,1
103,C_002,Male,45,Doctor,Alexander,Smith,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,Broadway,Germany,Processing,In-Store,2024-04-13,2024-04-17,4,200,59,1
104,C_018,Male,64,Healthcare,James,Smith,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Main St,Cyprus,Delivered,Pickup,2024-04-14,2024-04-19,5,25,55,2
105,C_012,Female,19,Healthcare,Emily,Jerry,P_1003,Shoes,Fashion,Premium,Nicosia Mall,High St,Cyprus,Cancelled,Online,2024-04-15,2024-04-21,1,350,56,1
106,C_032,Male,40,Engineer,Tony,Sebastian,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Market Rd,Germany,Returned,In-Store,2024-04-16,2024-04-23,2,35,42,1
107,C_023,Male,53,Lawyer,Klen,Britton,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-04-17,2024-04-25,3,499,50,1
108,C_015,Female,48,Doctor,Helen,Renn,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,USA,Delivered,Online,2024-04-18,2024-04-27,4,620,46,1
109,C_004,Male,33,Barista,Brewster,Michael,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-04-19,2024-04-29,5,200,43,1
110,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-04-20,2024-04-21,1,25,48,2
111,C_006,Male,25,Artist,David,Campbell,P_1003,Shoes,Fashion,Premium,Berlin Mitte,Broadway,Netherlands,Processing,Online,2024-04-21,2024-04-23,2,350,52,1
112,C_002,Male,45,Doctor,Alexander,Smith,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Main St,Germany,Delivered,In-Store,2024-04-22,2024-04-25,3,35,54,1
113,C_007,Male,27,Songwriter,Davidson,Pete,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-04-23,2024-04-27,4,499,42,1
114,C_026,Male,21,Barista,Michael,Canfield,P_1006,Laptop,Electronics,Premium,Amsterdam Mall,Market Rd,Australia,Returned,Online,2024-04-24,2024-04-29,5,620,46,1
115,C_028,Female,20,Engineer,Olivia,Taylor,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,Broadway,Germany,Processing,In-Store,2024-04-25,2024-05-01,1,200,48,1
116,C_015,Female,48,Doctor,Helen,Renn,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,USA,Delivered,Pickup,2024-04-26,2024-05-03,2,25,50,2
117,C_009,Female,45,Doctor,Debby,Black,P_1003,Shoes,Fashion,Premium,Nicosia Mall,High St,Cyprus,Cancelled,Online,2024-04-27,2024-05-05,3,350,43,1
118,C_008,Male,22,Executive,Dean,Kelly,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Market Rd,Cyprus,Returned,In-Store,2024-04-28,2024-05-07,4,35,59,1
119,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-04-29,2024-05-09,5,499,43,1
120,C_018,Male,64,Healthcare,James,Smith,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-04-30,2024-05-01,1,620,57,1
121,C_002,Male,45,Doctor,Alexander,Smith,P_1001,Smartphone,Electronics,Standard,Berlin Mitte,High St,Germany,Cancelled,In-Store,2024-05-01,2024-05-03,2,200,56,1
122,C_026,Male,21,Barista,Michael,Canfield,P_1002,Headphones,Accessories,Budget,Amsterdam Mall,Market Rd,Australia,Returned,Pickup,2024-05-02,2024-05-05,3,25,40,2
123,C_019,Female,34,Lawyer,Jessica,Danforth,P_1003,Shoes,Fashion,Premium,New York Mall,Broadway,USA,Processing,Online,2024-05-03,2024-05-07,4,350,58,1
124,C_004,Male,33,Barista,Brewster,Michael,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-05-04,2024-05-09,5,35,91,2
125,C_004,Male,33,Barista,Brewster,Michael,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-05-05,2024-05-11,1,499,29,1
126,C_008,Male,22,Executive,Dean,Kelly,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Market Rd,Cyprus,Returned,Online,2024-05-06,2024-05-13,2,620,77,1
127,C_014,Female,35,Executive,Hannah,Muller,P_1001,Smartphone,Electronics,Standard,New York Mall,Broadway,USA,Processing,In-Store,2024-05-07,2024-05-15,3,200,35,1
128,C_006,Male,25,Artist,David,Campbell,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,Netherlands,Delivered,Pickup,2024-05-08,2024-05-17,4,25,95,2
129,C_028,Female,20,Engineer,Olivia,Johnson,P_1003,Shoes,Fashion,Premium,Berlin Mitte,High St,Germany,Cancelled,Online,2024-05-09,2024-05-19,5,350,11,1
130,C_020,Male,39,Healthcare,Joe,Patty,P_1004,Backpack,Fashion,Standard,London West,Market Rd,UK,Returned,In-Store,2024-05-10,2024-05-11,1,35,75,1
131,C_001,Male,37,Artist,Alex,Taylor,P_1005,Tablet,Accessories,Budget,Netherlands Mall,Main St,Netherlands,Processing,Pickup,2024-05-11,2024-05-13,2,499,9,1
132,C_015,Female,48,Doctor,Helen,Renn,P_1006,Laptop,Electronics,Premium,Berlin Mitte,Main St,USA,Delivered,Online,2024-05-12,2024-05-15,3,620,75,1
133,C_009,Female,45,Doctor,Debby,Black,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-05-13,2024-05-17,4,200,34,1
134,C_008,Male,22,Executive,Dean,Kelly,P_1002,Headphones,Accessories,Budget,Nicosia Mall,Market Rd,Cyprus,Returned,Pickup,2024-05-14,2024-05-19,5,25,71,2
135,C_014,Female,35,Executive,Hannah,Muller,P_1003,Shoes,Fashion,Premium,New York Mall,Broadway,USA,Processing,Online,2024-05-15,2024-05-21,1,350,5,1
136,C_018,Male,64,Healthcare,James,Smith,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Main St,Cyprus,Delivered,In-Store,2024-05-16,2024-05-23,2,35,88,1
137,C_010,Male,26,Lawyer,Dunn,Ryan,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-05-17,2024-05-25,3,499,7,1
138,C_026,Male,21,Barista,Michael,Canfield,P_1006,Laptop,Electronics,Premium,Amsterdam Mall,Market Rd,Australia,Returned,Online,2024-05-18,2024-05-27,4,620,73,1
139,C_004,Male,33,Barista,Brewster,Michael,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,Broadway,Cyprus,Processing,In-Store,2024-05-19,2024-05-29,5,200,10,1
140,C_015,Female,48,Doctor,Helen,Renn,P_1002,Headphones,Accessories,Budget,Berlin Mitte,Main St,USA,Delivered,Pickup,2024-05-20,2024-05-21,1,25,72,2
141,C_004,Male,33,Barista,Brewster,Michael,P_1003,Shoes,Fashion,Premium,Nicosia Mall,High St,Cyprus,Cancelled,Online,2024-05-21,2024-05-23,2,350,5,1
142,C_008,Male,22,Executive,Dean,Kelly,P_1004,Backpack,Fashion,Standard,Nicosia Mall,Market Rd,Cyprus,Returned,In-Store,2024-05-22,2024-05-25,3,35,93,1
143,C_014,Female,35,Executive,Hannah,Muller,P_1005,Tablet,Accessories,Budget,New York Mall,Broadway,USA,Processing,Pickup,2024-05-23,2024-05-27,4,499,40,1
144,C_018,Male,64,Healthcare,James,Smith,P_1006,Laptop,Electronics,Premium,Nicosia Mall,Main St,Cyprus,Delivered,Online,2024-05-24,2024-05-29,5,620,87,1
145,C_012,Female,19,Healthcare,Emily,Jerry,P_1001,Smartphone,Electronics,Standard,Nicosia Mall,High St,Cyprus,Cancelled,In-Store,2024-05-25,2024-05-31,1,200,12,1
146,C_026,Male,21,Barista,Michael,Canfield,P_1002,Headphones,Accessories,Budget,Amsterdam Mall,Market Rd,Australia,Returned,Pickup,2024-05-26,2024-06-02,2,25,97,2
147,C_001,Male,37,Artist,Alex,Taylor,P_1003,Shoes,Fashion,Premium,Netherlands Mall,High St,Netherlands,Processing,Online,2024-05-27,2024-06-04,3,350,36,2
148,C_015,Female,48,Doctor,Helen,Renn,P_1004,Backpack,Fashion,Standard,Berlin Mitte,Main St,USA,Delivered,In-Store,2024-05-28,2024-06-06,4,35,74,1
149,C_024,Female,49,Engineer,Maria,Johnson,P_1005,Tablet,Accessories,Budget,Nicosia Mall,High St,Cyprus,Cancelled,Pickup,2024-05-29,2024-06-08,5,499,22,1
